iter	Passed	Remaining
0	0	21
1	0	18
2	0	17
3	0	16
4	0	15
5	0	15
6	1	14
7	1	14
8	1	14
9	1	14
10	1	13
11	1	13
12	2	13
13	2	13
14	2	13
15	2	13
16	2	12
17	2	12
18	2	12
19	4	16
20	4	16
21	4	16
22	4	15
23	4	15
24	4	14
25	5	14
26	5	14
27	5	14
28	5	13
29	5	13
30	5	13
31	6	12
32	6	12
33	6	12
34	6	12
35	6	11
36	6	11
37	7	11
38	7	11
39	7	10
40	7	10
41	7	10
42	7	10
43	7	10
44	8	9
45	8	9
46	8	9
47	8	9
48	8	9
49	8	8
50	8	8
51	9	8
52	9	8
53	9	8
54	9	7
55	9	7
56	9	7
57	10	7
58	10	7
59	10	6
60	10	6
61	10	6
62	10	6
63	10	6
64	11	5
65	11	5
66	11	5
67	11	5
68	11	5
69	11	5
70	12	4
71	12	4
72	12	4
73	12	4
74	12	4
75	12	4
76	12	3
77	13	3
78	13	3
79	13	3
80	13	3
81	13	3
82	13	2
83	14	2
84	14	2
85	14	2
86	14	2
87	14	1
88	14	1
89	14	1
90	15	1
91	15	1
92	15	1
93	15	0
94	15	0
95	15	0
96	15	0
97	16	0
98	16	0
99	16	0
